fecha,sector,id_punto,coordenada_x,coordenada_y,angulo_polar,tms,tasa_diaria,radio_canaleta
2023-02-04,6,34,488628.610820874,7295304.84068652,2.140480407179586,10011.205601798114,0.4121134592134794,0.7955
2023-02-04,6,35,488584.856312276,7295391.98508281,3.801820807179586,10011.205601798114,0.4121134592134794,2.1775
2023-02-04,6,36,488705.545831823,7295472.2016819,2.4539214071795863,10011.205601798114,0.4121134592134794,0.7805
2023-02-04,6,38,488389.054886304,7294926.72880806,2.0846410071795862,10011.205601798114,0.4121134592134794,1.5915
2023-02-04,6,39,488084.961051556,7294943.50136969,0.7935947,10011.205601798114,0.4121134592134794,1.2665
2023-02-04,6,40,487862.54229952,7294629.1981496,1.6465134071795866,10011.205601798114,0.4121134592134794,1.3905
2023-02-04,6,41,487495.733669117,7295194.36055231,1.6598459071795864,10011.205601798114,0.4121134592134794,2.0435
2023-02-04,6,42,487451.249918709,7295317.60241819,0.1537477,23359.479659664,0.9615980682927918,1.8875
2023-02-04,6,43,487189.784085125,7295412.57269179,1.605957707179586,23359.479659664,0.9615980682927918,1.0725
2023-02-05,6,34,488628.610820874,7295304.84068652,2.140480407179586,13093.319675794428,0.4121134592134794,0.7955
2023-02-05,6,35,488584.856312276,7295391.98508281,3.801820807179586,13093.319675794428,0.4121134592134794,2.1775
2023-02-05,6,36,488705.545831823,7295472.2016819,2.4539214071795863,13093.319675794428,0.4121134592134794,0.7805
2023-02-05,6,38,488389.054886304,7294926.72880806,2.0846410071795862,13093.319675794428,0.4121134592134794,1.5915
2023-02-05,6,39,488084.961051556,7294943.50136969,0.7935947,13093.319675794428,0.4121134592134794,1.2665
2023-02-05,6,40,487862.54229952,7294629.1981496,1.6465134071795866,13093.319675794428,0.4121134592134794,1.3905
2023-02-05,6,41,487495.733669117,7295194.36055231,1.6598459071795864,13093.319675794428,0.4121134592134794,2.0435
2023-02-05,6,42,487451.249918709,7295317.60241819,0.1537477,30551.0791416834,0.9615980682927918,1.8875
2023-02-05,6,43,487189.784085125,7295412.57269179,1.605957707179586,30551.0791416834,0.9615980682927918,1.0725
2023-02-06,6,34,488628.610820874,7295304.84068652,2.140480407179586,15213.119483892326,0.4121134592134794,0.7955
2023-02-06,6,35,488584.856312276,7295391.98508281,3.801820807179586,15213.119483892326,0.4121134592134794,2.1775
2023-02-06,6,36,488705.545831823,7295472.2016819,2.4539214071795863,15213.119483892326,0.4121134592134794,0.7805
2023-02-06,6,38,488389.054886304,7294926.72880806,2.0846410071795862,15213.119483892326,0.4121134592134794,1.5915
2023-02-06,6,39,488084.961051556,7294943.50136969,0.7935947,15213.119483892326,0.4121134592134794,1.2665
2023-02-06,6,40,487862.54229952,7294629.1981496,1.6465134071795866,15213.119483892326,0.4121134592134794,1.3905
2023-02-06,6,41,487495.733669117,7295194.36055231,1.6598459071795864,15213.119483892326,0.4121134592134794,2.0435
2023-02-06,6,42,487451.249918709,7295317.60241819,0.1537477,35497.278677424496,0.9615980682927918,1.8875
2023-02-06,6,43,487189.784085125,7295412.57269179,1.605957707179586,35497.278677424496,0.9615980682927918,1.0725
2023-02-07,6,34,488628.610820874,7295304.84068652,2.140480407179586,14742.528609901934,0.4121134592134794,0.7955
2023-02-07,6,35,488584.856312276,7295391.98508281,3.801820807179586,14742.528609901934,0.4121134592134794,2.1775
2023-02-07,6,36,488705.545831823,7295472.2016819,2.4539214071795863,14742.528609901934,0.4121134592134794,0.7805
2023-02-07,6,38,488389.054886304,7294926.72880806,2.0846410071795862,14742.528609901934,0.4121134592134794,1.5915
2023-02-07,6,39,488084.961051556,7294943.50136969,0.7935947,14742.528609901934,0.4121134592134794,1.2665
2023-02-07,6,40,487862.54229952,7294629.1981496,1.6465134071795866,14742.528609901934,0.4121134592134794,1.3905
2023-02-07,6,41,487495.733669117,7295194.36055231,1.6598459071795864,14742.528609901934,0.4121134592134794,2.0435
2023-02-07,6,42,487451.249918709,7295317.60241819,0.1537477,34399.2333084404,0.9615980682927918,1.8875
2023-02-07,6,43,487189.784085125,7295412.57269179,1.605957707179586,34399.2333084404,0.9615980682927918,1.0725
2023-02-08,6,34,488628.610820874,7295304.84068652,2.140480407179586,9612.300976241417,0.4121134592134794,0.7955
2023-02-08,6,35,488584.856312276,7295391.98508281,3.801820807179586,9612.300976241417,0.4121134592134794,2.1775
2023-02-08,6,36,488705.545831823,7295472.2016819,2.4539214071795863,9612.300976241417,0.4121134592134794,0.7805
2023-02-08,6,38,488389.054886304,7294926.72880806,2.0846410071795862,9612.300976241417,0.4121134592134794,1.5915
2023-02-08,6,39,488084.961051556,7294943.50136969,0.7935947,9612.300976241417,0.4121134592134794,1.2665
2023-02-08,6,40,487862.54229952,7294629.1981496,1.6465134071795866,9612.300976241417,0.4121134592134794,1.3905
2023-02-08,6,41,487495.733669117,7295194.36055231,1.6598459071795864,9612.300976241417,0.4121134592134794,2.0435
2023-02-08,6,42,487451.249918709,7295317.60241819,0.1537477,22428.7022031343,0.9615980682927918,1.8875
2023-02-08,6,43,487189.784085125,7295412.57269179,1.605957707179586,22428.7022031343,0.9615980682927918,1.0725
2023-02-09,6,34,488628.610820874,7295304.84068652,2.140480407179586,15096.099502543717,0.4121134592134794,0.7955
2023-02-09,6,35,488584.856312276,7295391.98508281,3.801820807179586,15096.099502543717,0.4121134592134794,2.1775
2023-02-09,6,36,488705.545831823,7295472.2016819,2.4539214071795863,15096.099502543717,0.4121134592134794,0.7805
2023-02-09,6,38,488389.054886304,7294926.72880806,2.0846410071795862,15096.099502543717,0.4121134592134794,1.5915
